determiner,noun,verb,adjective,adverb,preposition,conjunction,punctuation
,,forged,,nicely,,,
,,forgot,,nobly,,,
,,fought,,,,,
,,found,,,,,
,,found,,,,,
,,frowned,,,,,
,,froze,,,,,
,,gathered,,,,,
,,gathered,,,,,
,,gave,,,,,
,,gazed,,,,,
,,giggled,,,,,
,,glanced,,,,,
,,glared,,,,,
,,glowed,,,,,
,,grabbed,,,,,
,,greeted,,,,,
,,grew,,,,,
,,grinned,,,,,
,,guarded,,,,,
,,guided,,,,,
,,guided,,,,,
,,hammered,,,,,
,,handled,,,,,
,,helped,,,,,
,,hesitated,,,,,
,,hid,,,,,
,,hid,,,,,
,,hired,,,,,
,,honoured,,,,,
,,hoped,,,,,
,,hopped,,,,,
,,hugged,,,,,
,,hunted,,,,,
,,ignored,,,,,
,,imagined,,,,,
,,imagined,,,,,
,,improved,,,,,
,,included,,,,,
,,informed,,,,,
,,insisted,,,,,
,,instructed,,,,,
,,introduced,,,,,
,,invented,,,,,
,,invented,,,,,
,,invited,,,,,
,,jogged,,,,,
,,jogged,,,,,
,,joked,,,,,
,,jumped,,,,,
,,jumped,,,,,
,,jumped,,,,,
,,kept,,,,,
,,kicked,,,,,
,,knitted,,,,,
,,knocked,,,,,
,,laughed,,,,,
,,laughed,,,,,
,,learned,,,,,
,,learned,,,,,
,,led,,,,,
,,led,,,,,
,,left,,,,,
,,lent,,,,,
,,lied,,,,,
,,lifted,,,,,
,,listened,,,,,
,,lived,,,,,
,,loaded,,,,,
,,locked,,,,,
,,lost,,,,,
,,loved,,,,,
,,managed,,,,,
,,marked,,,,,
,,matched,,,,,
,,measured,,,,,
,,measured,,,,,
,,melted,,,,,
,,mentioned,,,,,
,,missed,,,,,
,,mixed,,,,,
,,mixed,,,,,
,,mopped,,,,,
,,moved,,,,,
,,nodded,,,,,
,,noticed,,,,,
,,observed,,,,,
,,offered,,,,,
,,opened,,,,,
,,opened,,,,,
,,ordered,,,,,
,,organised,,,,,
,,overcame,,,,,
,,overlooked,,,,,
,,packed,,,,,
,,packed,,,,,
,,painted,,,,,
,,painted,,,,,
,,painted,,,,,
,,parked,,,,,
,,passed,,,,,
,,performed,,,,,
,,permitted,,,,,
,,persisted,,,,,
,,persuaded,,,,,
,,picked,,,,,
,,pinched,,,,,
,,planned,,,,,
,,played,,,,,
,,played,,,,,
,,played,,,,,
,,plotted,,,,,
,,plucked,,,,,
,,polished,,,,,
,,pounced,,,,,
,,pounced,,,,,
,,poured,,,,,
,,practised,,,,,
,,practised,,,,,
,,predicted,,,,,
,,prepared,,,,,
,,pretended,,,,,
,,prevented,,,,,
,,printed,,,,,
,,processed,,,,,
,,promised,,,,,
,,promised,,,,,
,,protected,,,,,
,,protected,,,,,
,,proved,,,,,
,,pulled,,,,,
,,pulled,,,,,
,,punched,,,,,
,,purchased,,,,,
,,pushed,,,,,
,,pushed,,,,,
,,questioned,,,,,
,,ran,,,,,
,,ran,,,,,
,,ran,,,,,
,,reached,,,,,
,,reached,,,,,
,,read,,,,,
,,realised,,,,,
,,received,,,,,
,,rejected,,,,,
,,remembered,,,,,
,,remembered,,,,,
,,removed,,,,,
,,repaired,,,,,
,,repaired,,,,,
,,repeated,,,,,
,,respected,,,,,
,,rested,,,,,
,,rested,,,,,
,,retired,,,,,
,,returned,,,,,
,,returned,,,,,
,,rewarded,,,,,
,,roared,,,,,
,,roared,,,,,
,,rode,,,,,
,,rode,,,,,
,,rolled,,,,,
,,rose,,,,,
,,rotated,,,,,
,,ruined,,,,,
,,sang,,,,,
,,sat,,,,,
,,saved,,,,,
,,sculpted,,,,,
,,searched,,,,,
,,sent,,,,,
,,sewed,,,,,
,,shared,,,,,
,,shined,,,,,
,,shook,,,,,
,,shopped,,,,,
,,shouted,,,,,
,,shouted,,,,,
,,showed,,,,,
,,shrank,,,,,
,,shrunk,,,,,
,,signalled,,,,,
,,skipped,,,,,
,,slept,,,,,
,,slept,,,,,
,,slept,,,,,
,,smelled,,,,,
,,smiled,,,,,
,,sold,,,,,
,,solved,,,,,
,,sparked,,,,,
,,spent,,,,,
,,spoiled,,,,,
,,spoke,,,,,
,,spotted,,,,,
,,started,,,,,
,,stayed,,,,,
,,stepped,,,,,
,,stood,,,,,
,,stopped,,,,,
,,strengthened,,,,,
,,stretched,,,,,
,,stretched,,,,,
,,studied,,,,,
,,studied,,,,,
,,succeeded,,,,,
,,suggested,,,,,
,,supplied,,,,,
,,supported,,,,,
,,suspected,,,,,
,,swam,,,,,
,,swept,,,,,
,,swept,,,,,
,,tackled,,,,,
,,talked,,,,,
,,taught,,,,,
,,taught,,,,,
,,thanked,,,,,
,,threw,,,,,
,,threw,,,,,
,,told,,,,,
,,took,,,,,
,,trained,,,,,
,,trained,,,,,
,,travelled,,,,,
,,travelled,,,,,
,,trumpeted,,,,,
,,trumpeted,,,,,
,,trusted,,,,,
,,typed,,,,,
,,understood,,,,,
,,unfolded,,,,,
,,unpacked,,,,,
,,updated,,,,,
,,waited,,,,,
,,waited,,,,,
,,walked,,,,,
,,walked,,,,,
,,walked,,,,,
,,wandered,,,,,
,,watched,,,,,
,,watched,,,,,
,,waved,,,,,
,,welcomed,,,,,
,,whispered,,,,,
,,whispered,,,,,
,,wiped,,,,,
,,won,,,,,
,,worked,,,,,
,,worked,,,,,
,,worshipped,,,,,
,,wove,,,,,
,,wrote,,,,,
,,wrote,,,,,
